ORDER_ID,DATE,EMAIL,AMOUNT
1,01/10/2016 0:49,pippo400@gmail.com,328.92
2,14/05/2016 19:01,pippo358@gmail.com,115.26
3,14/11/2016 6:45,pippo100@gmail.com,138.09
4,26/05/2016 0:09,pippo283@gmail.com,358.85
5,02/12/2016 15:56,pippo64@gmail.com,88.82
6,15/11/2016 6:20,pippo406@gmail.com,42.20
7,12/12/2016 10:42,pippo412@gmail.com,137.20
8,11/05/2016 9:02,pippo233@gmail.com,142.53
9,03/08/2016 8:51,pippo203@gmail.com,340.67
10,20/11/2016 15:50,pippo138@gmail.com,157.51
11,25/03/2016 0:23,pippo189@gmail.com,247.89
12,16/06/2016 7:48,pippo402@gmail.com,324.17
13,30/06/2016 9:46,pippo279@gmail.com,353.17
14,22/05/2016 19:10,pippo168@gmail.com,246.57
15,12/11/2016 12:11,pippo435@gmail.com,20.69
16,17/09/2016 11:53,pippo201@gmail.com,66.04
17,29/04/2016 21:54,pippo235@gmail.com,202.72
18,28/08/2016 7:36,pippo253@gmail.com,44.91
19,30/04/2016 18:21,pippo488@gmail.com,373.00
20,17/03/2016 9:41,pippo435@gmail.com,250.80
21,31/01/2016 9:10,pippo460@gmail.com,42.26
22,16/01/2016 4:22,pippo240@gmail.com,283.22
23,08/07/2016 11:31,pippo279@gmail.com,335.95
24,20/12/2016 15:35,pippo118@gmail.com,189.08
25,27/01/2016 3:44,pippo409@gmail.com,292.36
26,28/02/2016 17:30,pippo376@gmail.com,221.07
27,03/08/2016 9:52,pippo178@gmail.com,102.10
28,20/01/2016 14:09,pippo414@gmail.com,273.51
29,13/01/2016 23:27,pippo256@gmail.com,176.52
30,30/09/2016 2:49,pippo1@gmail.com,200.87
31,17/05/2016 20:32,pippo17@gmail.com,169.28
32,18/03/2016 1:45,pippo284@gmail.com,219.95
33,29/04/2016 11:06,pippo157@gmail.com,332.09
34,10/06/2016 6:01,pippo254@gmail.com,294.68
35,25/04/2016 3:42,pippo345@gmail.com,246.72
36,15/03/2016 17:49,pippo454@gmail.com,261.93
37,03/02/2016 11:40,pippo173@gmail.com,287.50
38,19/07/2016 19:28,pippo403@gmail.com,276.82
39,19/05/2016 11:05,pippo292@gmail.com,220.77
40,07/01/2016 6:13,pippo32@gmail.com,146.61
41,20/01/2016 18:45,pippo484@gmail.com,101.77
42,09/07/2016 4:14,pippo436@gmail.com,138.78
